Transaction_ID,Product_ID,Date,Quantity_Sold,Unit_Price,Discount_Percent,Final_Price,Sales_Channel,index,_temp
T027389,P0601,2024-08-16,1,32.24,10,29.02,Store B,27388,
T005955,P0134,2023-12-10,1,34.01,30,23.81,Online,5954,
T005287,P0119,2023-08-30,1,86.72,20,69.38,StoreA,5286,
T018462,P0408,2024/11/27,1,81.1,10,72.99,Store_A,18461,
T000364,P0008,24-Feb-2024,1,49.12,30,34.38,Store_C,363,
T033058,P0726,2024-10-11,1,42.05,0,42.05,Store_A,33057,
T003938,P0088,26-Sep-2023,1,18.87,0,18.87,Store_A,3937,
T023904,P0524,2024-10-12,1,65.7,20,52.56,Store_B,23903,
T027911,P0613,2024-02-23,1,53.87,0,53.87,Store_C,27910,
T016370,P0362,2023-05-19,1,18.99,0,18.99,Store_B,16369,
T000054,P0002,2024-08-27,1,39.81,0,39.81,Store_C,53,
T035665,P0787,20-Feb-2023,1,45.99,0,45.99,Store C,35664,
T005524,P0125,2024-11-04,1,62.2,20,49.76,Online,5523,
T025976,P0569,2023-06-03,1,27.48,20,21.98,Store_C,25975,
T028295,P0621,2024-02-16,1,64.31,0,64.31,Store_C,28294,
T011282,P0251,2023-12-04,1,68.9,20,55.12,Store_A,11281,
T035559,P0783,06/30/2023,1,70.64,20,56.51,STORE_B,35558,
T023796,P0522,2023-05-01,1,32.51,0,32.51,Store_A,23795,
T008021,P0181,2024-12-16,1,19.4,10,17.46,Store_B,8020,
T029791,P0654,03-Nov-2023,2,46.11,10,41.5,store_b,29790,
T011566,P0257,2023-10-25,1,44.37,0,44.37,Store_A,11565,
T013042,P0291,2023-10-15,2,30.31,0,30.31,Store_B,13041,
T022930,P0505,2023-09-25,1,29.38,30,20.57,Online,22929,
T019015,P0420,2024/02/27,1,66.33,20,53.06,Online,19014,
T001088,P0024,2023-10-29,1,28.85,0,28.85,Store_C,1087,
T024190,P0530,2024-10-09,1,46.35,30,32.45,Store_B,24189,
T016694,P0369,2024-08-22,1,22.43,10,20.19,Store_A,16693,
T027372,P0601,2024-05-14,1,32.24,0,32.24,Online,27371,
T027638,P0606,2024-09-10,1,34.29,30,24.0,Store_A,27637,
T022100,P0489,2024-08-06,1,19.31,0,19.31,Online,22099,
T030482,P0670,25-Aug-2023,1,48.68,0,48.68,STORE_C,30481,
T023440,P0515,2023-09-26,1,55.53,30,38.87,ONLINE,23439,
T016718,P0370,2023-10-07,1,45.53,0,45.53,Store_A,16717,
T020632,P0456,2024-07-29,1,67.15,20,53.72,Store_C,20631,
T031690,P0696,2023-09-17,1,41.95,30,29.36,Online,31689,
T014406,P0320,2024-08-27,1,92.24,0,92.24,store_a,14405,
T003621,P0080,2024-09-30,2,62.71,0,62.71,STORE_C,3620,
T020963,P0463,2023-10-04,1,66.89,0,66.89,Store_A,20962,
T027101,P0595,2023-10-13,1,53.37,0,53.37,Store_C,27100,
T016931,P0375,2024-02-20,1,25.11,20,20.09,Store_A,16930,
T021755,P0481,2023-09-03,3,21.49,0,21.49,Store_B,21754,
T022872,P0504,2023-06-03,1,43.81,20,35.05,Store_A,22871,
T023413,P0515,2023-05-05,1,55.53,0,55.53,Online,23412,
T019716,P0434,2023-05-18,1,115.9,30,81.13,Store_C,19715,
T020718,P0458,2023-04-04,1,49.08,0,49.08,Store_C,20717,
T007593,P0171,2023-08-03,1,76.27,30,53.39, Online,7592,
T031705,P0697,04/06/2023,1,48.86,0,48.86,Online,31704,
T004048,P0090,2023-09-11,1,119.66,0,119.66,Online,4047,
T008579,P0193,2024-11-05,1,77.07,30,53.95,Store_C,8578,
T013732,P0305,2023-12-19,1,71.46,20,57.17,Store C,13731,
T021698,P0479,2024-07-23,1,68.69,30,48.08,Online,21697,
T001267,P0029,2023-08-11,1,26.49,0,26.49,Online,1266,
T011099,P0247,2024-09-14,2,37.02,0,37.02,Store_A,11098,
T028843,P0633,2023-08-24,2,40.34,0,40.34,Store_A,28842,
T009502,P0212,2024/12/18,1,61.5,10,55.35,Store_A,9501,
T001030,P0023,2024-03-03,2,46.51,0,46.51,Store_C,1029,
T024402,P0536,2023-03-24,1,40.68,0,40.68,Online,24401,
T023875,P0523,2024-12-09,1,103.4,20,82.72,Store_B,23874,
T006171,P0139,2024-09-09,1,76.09,0,76.09,Online,6170,
T012386,P0277,2023-11-20,1,93.32,10,83.99,store_b,12385,
T027620,P0606,2024-03-18,1,34.29,0,34.29,Store_B,27619,
T029305,P0642,2024-09-21,1,36.97,0,36.97,Online,29304,
T022719,P0501,2023-10-22,2,56.72,0,56.72,Online,22718,
T024281,P0532,2023-10-08,1,64.24,20,51.39,Online,24280,
T023288,P0512,2024-10-16,1,34.89,20,27.91,Store_B,23287,
T017742,P0392,2023-04-14,1,27.43,0,27.43,store_b,17741,
T026356,P0578,2024-09-28,1,57.06,0,57.06,Store_C,26355,
T012206,P0273,2024-10-23,1,50.27,10,45.24,Store_C,12205,
T013798,P0307,2024-09-30,2,65.29,0,65.29,Store_A,13797,
T016226,P0360,2023-03-12,2,130.75,0,130.75,Store_C,16225,
T022156,P0490,2024-09-14,1,33.79,0,33.79,Online,22155,
T023117,P0509,09/08/2023,1,38.67,10,34.8,Store_C,23116,
T003243,P0072,2023-05-08,1,67.05,30,46.93,StoreC,3242,
T022952,P0506,2023-10-17,1,91.77,0,91.77,Store A,22951,
T015928,P0355,2024-02-02,1,49.58,0,49.58,Store_C,15927,
T035882,P0791,29-Oct-2023,1,139.98,0,139.98,OnLine,35881,
T034357,P0757,2023-04-14,1,49.16,0,49.16,Store_C,34356,
T021229,P0469,2023-07-27,1,100.67,10,90.6,ONLINE,21228,
T007289,P0164,2024-01-13,1,28.25,30,19.77,Store_A,7288,
T034960,P0770,2023-03-21,1,66.76,0,66.76,Online,34959,
T007552,P0170,2024-02-18,1,39.27,30,27.49,Store_C,7551,
T030977,P0680,2024-12-26,1,79.62,30,55.73,Store_B,30976,
T012243,P0274,2024-12-18,1,41.73,10,37.56,Store_B,12242,
T010481,P0232,2024-10-25,1,61.16,20,48.93,Store_A,10480,
T028706,P0630,2023-05-29,1,85.29,10,76.76,Store_B,28705,
T013163,P0294,2024-09-18,1,95.28,0,95.28,Store_C,13162,
T013681,P0303,2023-10-18,1,52.17,20,41.74,Store_C,13680,
T020239,P0447,2023-05-04,1,68.09,0,68.09,Store_C,20238,
T034165,P0752,2023-06-06,1,50.34,10,45.31,Online,34164,
T029622,P0650,2023/08/11,1,80.27,0,80.27,StoreC,29621,
T004710,P0107,2023-08-29,1,57.33,0,57.33,Store_A,4709,
T013962,P0310,2024-11-17,1,57.32,0,57.32,Store_B,13961,
T029348,P0643,2023-04-29,1,50.85,0,50.85,Store C,29347,
T000386,P0009,2023-03-20,2,50.73,0,50.73,Online,385,
T030040,P0658,2024-02-09,1,37.3,10,33.57,Online,30039,
T004091,P0091,2024-02-13,3,52.33,0,52.33,Online,4090,
T005029,P0114,2023-03-13,1,95.43,0,95.43,Store_A,5028,
T004989,P0112,2024-03-05,1,74.52,30,52.16,Store_B,4988,
T024663,P0541,2023-08-20,1,61.01,30,42.71,Store_A,24662,
T007846,P0176,2023-10-08,1,82.44,20,65.95,Store_B,7845,
T011511,P0256,2024-04-10,1,53.79,0,53.79,Store_B,11510,
T020996,P0463,2024-04-23,1,66.89,20,53.51,Store_B,20995,
T021517,P0476,2023-02-25,1,21.46,0,21.46,Store_C,21516,
T035027,P0771,2023-09-23,1,72.42,20,57.94,Store_A,35026,
T013410,P0299,2024-02-20,1,74.8,0,74.8,,13409,
T000824,P0018,2023-08-04,1,45.24,10,40.72,Online,823,
T016149,P0358,2023-12-09,1,57.24,30,40.07,Store_A,16148,
T019197,P0423,2024-08-05,1,26.27,10,23.64,Store_A,19196,
T008972,P0202,2024/05/06,1,63.15,0,63.15,Store_B,8971,
T021780,P0481,2023-10-27,1,21.49,30,15.04,,21779,
T036200,P0798,00/00/0000,1,82.17,0,82.17,Store_A,36199,
T008485,P0191,2023-10-08,1,52.21,0,52.21,Online,8484,
T028421,P0624,2024-10-03,2,74.4,0,74.4,Online,28420,
T021840,P0483,2024-03-09,1,87.05,0,87.05,Store_B,21839,
T011054,P0246,2023-03-25,2,24.06,0,24.06,Store_B,11053,
T014057,P0312,2024-10-23,2,50.25,0,50.25,Store_C,14056,
T026680,P0585,2023-05-15,1,71.07,0,71.07,Store_C,26679,
T029575,P0649,2024-03-23,3,39.38,0,39.38,Store_C,29574,
T024459,P0537,2023-09-14,1,79.38,0,79.38,Store_A,24458,
