Transaction_ID,Product_ID,Date,Quantity_Sold,Unit_Price,Discount_Percent,Final_Price,Sales_Channel
T006772,P0152,12/25/2024 0:00,1,17.66,30,12.36,Store C
T006764,P0152,11/15/2024 0:00,1,17.66,30,12.36,Store C
T006770,P0152,12/16/2024 0:00,1,17.66,30,12.36,Store C
T006768,P0152,11/24/2024 0:00,1,17.66,30,12.36,Store A
T006771,P0152,12/20/2024 0:00,1,17.66,30,12.36,Store C
T006757,P0152,11/3/2024 0:00,1,17.66,30,12.36,Online
T006760,P0152,11/8/2024 0:00,1,17.66,30,12.36,Online
T006758,P0152,11/4/2024 0:00,1,17.66,30,12.36,Store B
T031005,P0681,10/28/2024 0:00,1,17.71,30,12.4,Store A
T031015,P0681,12/3/2024 0:00,1,17.71,30,12.4,Store B
T031019,P0681,12/27/2024 0:00,1,17.71,30,12.4,Online
T031008,P0681,11/1/2024 0:00,1,17.71,30,12.4,Online
T004039,P0089,3/24/2024 0:00,1,17.91,30,12.54,Store B
T004033,P0089,1/12/2024 0:00,1,17.91,30,12.54,Store B
T004030,P0089,12/19/2023 0:00,1,17.91,30,12.54,Store A
T004031,P0089,12/21/2023 0:00,1,17.91,30,12.54,Store C
T004035,P0089,2/16/2024 0:00,1,17.91,30,12.54,Store C
T004036,P0089,3/12/2024 0:00,1,17.91,30,12.54,Store C
T004038,P0089,3/21/2024 0:00,1,17.91,30,12.54,Store B
T012343,P0276,8/11/2024 0:00,1,17.96,30,12.57,Store B
T012355,P0276,10/5/2024 0:00,1,17.96,30,12.57,Store B
T012358,P0276,10/29/2024 0:00,1,17.96,30,12.57,Online
T012337,P0276,7/13/2024 0:00,1,17.96,30,12.57,Store A
T012333,P0276,6/15/2024 0:00,1,17.96,30,12.57,Store B
T012340,P0276,7/27/2024 0:00,1,17.96,30,12.57,Online
T012341,P0276,8/2/2024 0:00,1,17.96,30,12.57,Online
T012342,P0276,8/7/2024 0:00,1,17.96,30,12.57,Store A
T012330,P0276,6/1/2024 0:00,1,17.96,30,12.57,Store B
T012349,P0276,8/26/2024 0:00,1,17.96,30,12.57,Store B
T012352,P0276,9/19/2024 0:00,1,17.96,30,12.57,Store B
T015805,P0351,7/19/2023 0:00,1,18.18,30,12.73,Store B
T015801,P0351,5/16/2023 0:00,1,18.18,30,12.73,Store A
T015814,P0351,9/7/2023 0:00,1,18.18,30,12.73,Store C
T015813,P0351,8/30/2023 0:00,1,18.18,30,12.73,Store B
T015799,P0351,5/10/2023 0:00,1,18.18,30,12.73,Store B
T025489,P0558,11/26/2024 0:00,1,18.25,30,12.78,Store C
T025481,P0558,10/14/2024 0:00,1,18.25,30,12.78,Store B
T025483,P0558,10/22/2024 0:00,1,18.25,30,12.78,Online
T025479,P0558,10/4/2024 0:00,1,18.25,30,12.78,Online
T025487,P0558,11/22/2024 0:00,1,18.25,30,12.78,Store C
T024163,P0529,9/26/2024 0:00,1,18.62,30,13.03,Online
T024157,P0529,8/13/2024 0:00,1,18.62,30,13.03,Store A
T024165,P0529,10/13/2024 0:00,1,18.62,30,13.03,Store A
T024149,P0529,6/15/2024 0:00,1,18.62,30,13.03,Store C
T024170,P0529,10/24/2024 0:00,1,18.62,30,13.03,Online
T024171,P0529,10/26/2024 0:00,1,18.62,30,13.03,Store B
T024166,P0529,10/14/2024 0:00,1,18.62,30,13.03,Store B
T024155,P0529,7/24/2024 0:00,1,18.62,30,13.03,Store A
T024154,P0529,7/18/2024 0:00,1,18.62,30,13.03,Store C
T021468,P0474,7/8/2023 0:00,1,18.73,30,13.11,Store A
T021448,P0474,4/6/2023 0:00,1,18.73,30,13.11,Store B
T021462,P0474,6/5/2023 0:00,1,18.73,30,13.11,Store A
T021473,P0474,8/13/2023 0:00,1,18.73,30,13.11,Store B
T021472,P0474,8/12/2023 0:00,1,18.73,30,13.11,Store B
T021471,P0474,8/2/2023 0:00,1,18.73,30,13.11,Online
T021464,P0474,6/10/2023 0:00,1,18.73,30,13.11,Store C
T024708,P0542,6/28/2023 0:00,1,18.78,30,13.15,Store B
T024718,P0542,8/17/2023 0:00,1,18.78,30,13.15,Online
T024704,P0542,6/2/2023 0:00,1,18.78,30,13.15,Store A
T024723,P0542,8/27/2023 0:00,1,18.78,30,13.15,Store C
T024700,P0542,5/21/2023 0:00,1,18.78,30,13.15,Online
T024699,P0542,5/20/2023 0:00,1,18.78,30,13.15,Store C
T024716,P0542,8/12/2023 0:00,1,18.78,30,13.15,Online
T024715,P0542,8/11/2023 0:00,1,18.78,30,13.15,Online
T024696,P0542,5/12/2023 0:00,1,18.78,30,13.15,Store A
T024698,P0542,5/18/2023 0:00,1,18.78,30,13.15,Store C
T024707,P0542,6/27/2023 0:00,1,18.78,30,13.15,Online
T036260,P0799,10/30/2023 0:00,1,18.86,30,13.2,Store B
